beer_name,brewery_name,beer_type,beer_abv,beer_ibu,comment,venue_name,venue_city,venue_state,venue_country,venue_lat,venue_lng,rating_score,created_at,checkin_url,beer_url,brewery_url,brewery_country,brewery_city,brewery_state,flavor_profiles,purchase_venue,serving_type,checkin_id,bid,brewery_id,photo_url,global_rating_score,global_weighted_rating_score,tagged_friends,total_toasts,total_comments
"Handsome Bull","Wyndridge Farm","IPA - Imperial / Double",8.3,75,,,,,,,,4,"2019-02-07 20:30:24",https://untappd.com/c/709726855,https://untappd.com/beer/1931824,https://untappd.com/brewery/98011,"United States",Dallastown,PA,"smooth,hoppy","State Line Liquors",Can,709726855,1931824,98011,https://untappd.s3.amazonaws.com/photos/2019_02_08/de78819cb0d1a12588679a9f1e9db5a9_raw.jpg,3.75,3.75,,0,0
"Mad Elf","Tröegs Independent Brewing","Belgian Strong Dark Ale",11,15,,,,,,,,4,"2019-02-08 18:02:49",https://untappd.com/c/710065854,https://untappd.com/beer/17568,https://untappd.com/brewery/2583,"United States",Hershey,PA,,,,710065854,17568,2583,https://untappd.s3.amazonaws.com/photos/2019_02_08/c69b07627c592dfb1c5fdb1f0e46c6c0_raw.jpg,3.83,3.83,,0,0
"Baby Bob","2SP Brewing Company","Stout - American",6,50,,"Two Stones Pub",Hockessin,DE,"United States",39.7748,-75.7098,4.5,"2019-02-10 11:54:41",https://untappd.com/c/711145256,https://untappd.com/beer/1166659,https://untappd.com/brewery/206264,"United States",Aston,PA,"roasty,coffee","Two Stones Pub",Draft,711145256,1166659,206264,https://untappd.s3.amazonaws.com/photos/2019_02_10/1e6e1094c763c7098ff2acc38eab6825_raw.jpg,3.71,3.7,,0,0
"Back & Forth","2SP Brewing Company","Pale Ale - American",5,50,,"Two Stones Pub",Hockessin,DE,"United States",39.7748,-75.7098,3.75,"2019-02-10 12:17:04",https://untappd.com/c/711152997,https://untappd.com/beer/2488230,https://untappd.com/brewery/206264,"United States",Aston,PA,"light,hoppy","Two Stones Pub",Draft,711152997,2488230,206264,https://untappd.s3.amazonaws.com/photos/2019_02_10/401ef52a77c0ad736d9c177f1d9ca4b7_raw.jpg,3.66,3.66,,0,0
"Out Of Mind Coffee Stout","Avery Brewing Co.","Stout - Coffee",6.5,51,,,,,,,,4.75,"2019-02-10 22:20:35",https://untappd.com/c/711431447,https://untappd.com/beer/323091,https://untappd.com/brewery/62,"United States",Boulder,CO,,"State Line Liquors",Can,711431447,323091,62,https://untappd.s3.amazonaws.com/photos/2019_02_11/8acdca82df3122aedaa3af9d27b76673_raw.jpg,3.88,3.87,,0,0
"Brewhouse Rarities: English Breakfast Stout","Flying Dog Brewery","Stout - English",7.2,30,,,,,,,,3.75,"2019-02-11 20:21:10",https://untappd.com/c/711585933,https://untappd.com/beer/2918985,https://untappd.com/brewery/540,"United States",Frederick,MD,roasty,"State Line Liquors",Bottle,711585933,2918985,540,https://untappd.s3.amazonaws.com/photos/2019_02_12/efe1550647bbcf309fc33367f827410e_raw.jpg,3.77,3.75,,0,0
"Tenacity (Tə'nasədē)","Stillwater Artisanal","IPA - Farmhouse",6,0,,,,,,,,4,"2019-02-16 21:44:25",https://untappd.com/c/1043004786,https://untappd.com/beer/1326904,https://untappd.com/brewery/1203,"United States",Brooklyn,NY,,,,1043004786,1326904,1203,https://untappd.s3.amazonaws.com/photos/2021_06_22/5d68d756cf48663c2d74028d4b0d4710_raw.jpg,3.67,3.67,,0,0
Trooper,"Robinsons Brewery","Extra Special / Strong Bitter",4.7,35,"Surprisingly solid for a 'novelty' beer.",,,,,,,3.75,"2019-02-18 17:46:02",https://untappd.com/c/714326981,https://untappd.com/beer/332969,https://untappd.com/brewery/2908,England,Stockport,"Greater Manchester","malty,smooth","State Line Liquors",Bottle,714326981,332969,2908,https://untappd.s3.amazonaws.com/photos/2019_02_18/9be0bcf605181c5ad10596b64851f922_raw.jpg,3.37,3.37,,0,0
"Mad Hatter","New Holland Brewing","IPA - American",7,65,,,,,,,,3.5,"2019-02-19 21:27:31",https://untappd.com/c/714630689,https://untappd.com/beer/1064901,https://untappd.com/brewery/908,"United States",Holland,MI,"floral,hoppy","Total Wine & More - Wilmington, DE",Bottle,714630689,1064901,908,https://untappd.s3.amazonaws.com/photos/2019_02_20/651cc0ce68c410e6dd29dd9176393870_raw.jpg,3.73,3.73,,0,0
"90 Minute Imperial IPA","Dogfish Head Craft Brewery","IPA - Imperial / Double",9,90,,,,,,,,4.5,"2019-02-22 19:49:27",https://untappd.com/c/715618768,https://untappd.com/beer/8056,https://untappd.com/brewery/459,"United States",Milton,DE,"smooth,hoppy","Total Wine & More - Wilmington, DE",Can,715618768,8056,459,https://untappd.s3.amazonaws.com/photos/2019_02_23/41740745ec0099c32a755be69c7a8d43_raw.jpg,4.05,4.05,,0,0
"Ayinger Celebrator","Ayinger Privatbrauerei","Bock - Doppelbock",6.7,24,,,,,,,,3.75,"2019-02-28 22:08:41",https://untappd.com/c/717943636,https://untappd.com/beer/6683,https://untappd.com/brewery/10915,Germany,Aying,Bayern,"malty,dark","Total Wine & More - Wilmington, DE",Bottle,717943636,6683,10915,https://untappd.s3.amazonaws.com/photos/2019_03_01/fca0873ddf13964177b0fda4404adb74_raw.jpg,3.78,3.78,,0,0
